Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,Maturity,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2025/08/19,TN25,ZAG000079344,ZAG000079344 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,19-Aug-25,94,2023/08/19,9.5,R186,115,9.89,101.31948,99.21126,2.10822,10,9,0.03,2.0585078,1.961511121,-1.98739289,198.7392893,5.0402718,,Rate,05-May-23,31-Jan-23,,,,Illiquid Methodology,
2026/04/02,ES26,ZAG000038290,ZAG000038290 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,02-Apr-26,138,2023/10/02,7.85,R186,70,9.44,96.87596,96.03719,0.83877,9.57,8.78,-0.01,2.6174306,2.499456276,-2.42137209,242.1372089,7.8415184,,Rate,05-May-23,02-Mar-23,,,,Official Market Maker,
2026/10/01,FRX26,ZAG000112160,ZAG000112160 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,01-Oct-26,137,2023/10/01,9.5,R186,59.5,9.335,101.49014,100.44904,1.0411,9.54,8.41,0.03,2.9502076,2.818647249,-2.86064895,286.0648949,10.0052929,,Rate,05-May-23,04-May-23,,,,Illiquid Methodology,
2027/11/14,TN27,ZAG000046681,ZAG000046681 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,14-Nov-27,181,2023/11/14,8.9,R186,252,11.26,91.75982,91.83297,-0.07315,11.37,10.395,0.02,3.7775281,3.576188686,-3.28150414,328.150414,15.9264779,,Rate,05-May-23,01-Feb-23,,,,Illiquid Methodology,
2031/02/21,FRX31,ZAG000084195,ZAG000084195 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,21-Feb-31,96,2023/08/21,9.5,R213,25,10.84,95.11719,93.06103,2.05616,10.89,9.97,0.04,5.4676306,5.186521173,-4.93327351,493.3273515,35.9845148,,Rate,05-May-23,20-Apr-23,,,,Illiquid Methodology,
2033/09/15,ES33,ZAG000029034,ZAG000029034 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,15-Sep-33,121,2023/09/15,7.5,R209,75,12.25,73.69644,72.52521,1.17123,12.28,11.65,0,6.6871389,6.301190951,-4.64375366,464.3753656,55.0333777,,Rate,05-May-23,02-Mar-23,,,,Official Market Maker,
2034/07/31,HWAY34,ZAG000070319,ZAG000070319 Corp,SOUTH AFRICAN NATL RDS,GOVT AGENCY,Sr Unsecured,31-Jul-34,75,2023/07/31,9.25,R209,75,12.25,84.47968,81.94543,2.53425,12.265,11.545,0.02,6.564667,6.185787529,-5.22573358,522.5733584,56.0426561,,Rate,05-May-23,02-Apr-23,,,,Illiquid Methodology,
2040/10/09,TN40,ZAG000120320,ZAG000120320 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,09-Oct-40,145,2023/10/09,10.75,R214,117,13.04,85.30076,84.35829,0.94247,13.065,12.19,0.03,7.419158,6.965037551,-5.94123001,594.1230012,80.4886103,,Rate,05-May-23,15-Mar-23,,,,Illiquid Methodology,
2042/04/25,ES42,ZAG000107780,ZAG000107780 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,25-Apr-42,161,2023/10/25,8.5,R214,85,12.72,70.38836,70.01576,0.3726,12.745,12.03,0.02,8.0355963,7.555092376,-5.31790588,531.7905885,95.1710673,,Rate,05-May-23,22-Mar-23,,,,Official Market Maker,
2028/12/07,ABCPI3,ZAG000073669,ZAG000073669 Corp,ABSA BANK LTD,BANK,Subordinated,07-Dec-23,21,2023/06/07,5.5,R197,135,3.75,334.61819,327.05419,7.564,5.25,3.698,-0.27,0.5609048,0.550581362,-1.84234538,184.2345384,0.5795876,,Rate,05-Apr-23,23-Nov-22,3.238540589,33.15013709,107.3580645,Inflation Linked Methodology,
