Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Maturity,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2025/08/19,TN25,ZAG000079344,ZAG000079344 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,54,2023/08/19,19-Aug-25,9.5,R186,135,11.11,99.25798,96.86346,2.39452,11.11,9,0.16,2.0248004,1.918242046,-1.90400823,190.4008235,4.8473165,,Rate,16-May-23,15-May-23,,,,Illiquid Methodology,
2026/04/02,ES26,ZAG000038290,ZAG000038290 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,98,2023/10/02,02-Apr-26,7.85,R186,70,10.46,94.73503,93.65969,1.07534,10.46,8.78,0.09,2.5830725,2.454692114,-2.32545339,232.5453394,7.5948418,,Rate,15-May-23,02-Mar-23,,,,Official Market Maker,
2026/10/01,FRX26,ZAG000112160,ZAG000112160 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,97,2023/10/01,01-Oct-26,9.5,R186,59.5,10.355,98.92408,97.59668,1.3274,10.355,8.41,0.14,2.9124877,2.769116638,-2.7393231,273.9323097,9.7028375,,Rate,15-May-23,04-May-23,,,,Illiquid Methodology,
2026/12/21,R186,ZAG000016320,ZAG000016320 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,178,2023/12/21,21-Dec-26,10.5,,,9.76,106.5601,102.1875,4.3726,9.76,7.96,0.12,2.9581779,2.820535745,-3.00556567,300.5565669,10.40413,,Rate,16-May-23,15-May-23,,,,Benchmark Bond,
2027/11/14,TN27,ZAG000046681,ZAG000046681 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,141,2023/11/14,14-Nov-27,8.9,R186,252,12.28,88.80464,88.60957,0.19507,12.28,10.395,0.11,3.7318337,3.515954102,-3.12233016,312.2330159,15.4750036,,Rate,15-May-23,01-Feb-23,,,,Illiquid Methodology,
2030/01/31,R2 030,ZAG000106998,ZAG000106998 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,35,2023/07/31,31-Jan-30,8,,,11.03,88.34654,85.91366,2.43288,11.04,9.465,0.08,5.0427135,4.779143746,-4.22220804,422.2208039,29.707111,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
2031/02/21,FRX31,ZAG000084195,ZAG000084195 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,56,2023/08/21,21-Feb-31,9.5,R213,-5,11.41,92.67197,90.3295,2.34247,11.46,9.97,0.09,5.3973011,5.106003572,-4.73183383,473.183383,35.1380318,,Rate,16-May-23,15-May-23,,,,Illiquid Methodology,
2031/02/28,R213,ZAG000077470,ZAG000077470 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,66,2023/08/31,28-Feb-31,7,,,11.46,79.00088,77.4091,1.59178,11.465,9.9,0.08,5.7470756,5.435614869,-4.29418361,429.4183612,38.4371427,,Rate,16-May-23,29-Jul-10,,,,PD Call Down Rates,
2032/03/31,R2 032,ZAG000107004,ZAG000107004 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,96,2023/09/30,31-Mar-32,8.25,,,11.69,82.47845,81.30311,1.17534,11.705,10.145,0.08,6.0731237,5.737752079,-4.73240926,473.2409259,44.3183233,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
2033/09/15,ES33,ZAG000029034,ZAG000029034 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,81,2023/09/15,15-Sep-33,7.5,R209,75,12.9,71.02679,69.62953,1.39726,12.99,11.65,0.06,6.571766,6.173570681,-4.38488914,438.4889145,53.397479,,Rate,16-May-23,02-Mar-23,,,,Official Market Maker,
2034/07/31,HWAY34,ZAG000070319,ZAG000070319 Corp,SOUTH AFRICAN NATL RDS,GOVT AGENCY,Sr Unsecured,35,2023/07/31,31-Jul-34,9.25,R209,76,12.91,81.4405,78.62749,2.81301,13,11.545,0.07,6.4301847,6.040284338,-4.91923807,491.9238067,54.1327277,,Rate,15-May-23,08-May-23,,,,Illiquid Methodology,
2035/02/28,R2 035,ZAG000125972,ZAG000125972 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,66,2023/08/31,28-Feb-35,8.875,,,12.11,81.9471,79.92895,2.01815,12.2,10.75,0.07,6.8350752,6.444840126,-5.28135979,528.1359787,60.8352285,,Rate,16-May-23,15-May-23,,,,Benchmark Bond,
2036/03/31,R209,ZAG000030404,ZAG000030404 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,96,2023/09/30,31-Mar-36,6.25,,,12.15,62.96615,62.07574,0.89041,12.24,10.78,0.08,7.7457529,7.302147437,-4.59788085,459.7880855,76.4550003,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
2037/01/31,R2 037,ZAG000107012,ZAG000107012 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,35,2023/07/31,31-Jan-37,8.5,,,12.41,77.1278,74.54287,2.58493,12.515,10.98,0.08,7.2174274,6.795751073,-5.24141327,524.141327,71.2007708,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
2040/01/31,R2 040,ZAG000125980,ZAG000125980 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,35,2023/07/31,31-Jan-40,9,,,12.53,78.25937,75.52238,2.73699,12.63,11.125,0.08,7.5539373,7.108584461,-5.56313315,556.3133151,83.3147292,,Rate,16-May-23,15-May-23,,,,Benchmark Bond,
2040/10/09,TN40,ZAG000120320,ZAG000120320 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,105,2023/10/09,09-Oct-40,10.75,R214,117,13.6,82.40377,81.13733,1.26644,13.695,12.19,0.08,7.2195891,6.759914872,-5.57042433,557.0424326,76.91174,,Rate,15-May-23,15-Mar-23,,,,Illiquid Methodology,
2041/02/28,R214,ZAG000077488,ZAG000077488 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,66,2023/08/31,28-Feb-41,6.5,,,12.43,59.32841,57.85033,1.47808,12.525,11.01,0.09,8.3278561,7.840565014,-4.65168271,465.1682712,100.0379004,,Rate,16-May-23,29-Jul-10,,,,PD Call Down Rates,
2042/04/25,ES42,ZAG000107780,ZAG000107780 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,121,2023/10/25,25-Apr-42,8.5,R214,85,13.28,67.77382,67.14505,0.62877,13.375,12.03,0.06,7.8021442,7.316339286,-4.95856241,495.8562407,90.6239022,,Rate,15-May-23,22-Mar-23,,,,Official Market Maker,
2044/01/31,R2 044,ZAG000106972,ZAG000106972 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,35,2023/07/31,31-Jan-44,8.75,,,12.58,74.64442,71.98346,2.66096,12.685,11.145,0.09,7.9219411,7.453138723,-5.56335234,556.3352343,97.9124503,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
